H0,S3,weight,group_id
560110,6561,0.0,25
560121,6561,0.0,25
560122,6561,0.0,25
560129,6561,0.0,25
560130,6561,0.0,25
580610,6561,0.9999999992540944,25
580620,6561,1.0,25
580631,6561,1.0,25
580632,6561,1.0,25
580639,6561,1.0,25
580640,6561,1.0,25
590800,6561,0.0,25
591110,6561,0.0,25
591120,6561,0.0,25
591131,6561,0.0,25
591132,6561,0.0,25
591140,6561,0.0,25
591190,6561,0.0,25
560110,6577,1.0,25
560121,6577,1.0,25
560122,6577,1.0,25
560129,6577,1.0,25
560130,6577,1.0,25
580610,6577,7.459055071180457e-10,25
580620,6577,0.0,25
580631,6577,0.0,25
580632,6577,0.0,25
580639,6577,0.0,25
580640,6577,0.0,25
590800,6577,1.0,25
591110,6577,1.0,25
591120,6577,1.0,25
591131,6577,1.0,25
591132,6577,1.0,25
591140,6577,1.0,25
591190,6577,1.0,25
281410,2822,0.0,12
281420,2822,0.0,12
281511,2822,0.0,12
281512,2822,0.0,12
281520,2822,0.0,12
281530,2822,0.0,12
281610,2822,0.0,12
281620,2822,0.0,12
281630,2822,0.0,12
281810,2822,0.0,12
281830,2822,0.0,12
282510,2822,0.0,12
282520,2822,0.0,12
282530,2822,0.0,12
282540,2822,0.0,12
282550,2822,0.0,12
282560,2822,0.0,12
282570,2822,0.0,12
282580,2822,0.0,12
282590,2822,0.0,12
282710,2822,0.0,12
282720,2822,0.0,12
282731,2822,0.0,12
282732,2822,0.0,12
282733,2822,0.0,12
282734,2822,0.0,12
282735,2822,0.0,12
282736,2822,0.0,12
282737,2822,0.0,12
282738,2822,0.0,12
282739,2822,0.0,12
282741,2822,0.0,12
282749,2822,0.0,12
282751,2822,0.0,12
282759,2822,0.0,12
282760,2822,0.0,12
283010,2822,0.0,12
283020,2822,0.0,12
283030,2822,0.0,12
283090,2822,0.0,12
283110,2822,0.0,12
283190,2822,0.0,12
283210,2822,0.0,12
283220,2822,0.0,12
283230,2822,0.0,12
283311,2822,0.0,12
283319,2822,0.0,12
283321,2822,0.0,12
283322,2822,0.0,12
283323,2822,0.0,12
283324,2822,0.0,12
283325,2822,0.0,12
283326,2822,0.0,12
283327,2822,0.0,12
283329,2822,0.0,12
283330,2822,0.0,12
283340,2822,0.0,12
283410,2822,0.0,12
283421,2822,0.0,12
283422,2822,0.0,12
283429,2822,0.0,12
283510,2822,0.0,12
283521,2822,0.0,12
283522,2822,0.0,12
283523,2822,0.0,12
283524,2822,0.0,12
283525,2822,0.0,12
283526,2822,0.0,12
283529,2822,0.0,12
283531,2822,0.0,12
283539,2822,0.0,12
283711,2822,0.0,12
283719,2822,0.0,12
283720,2822,0.0,12
283800,2822,0.0,12
283911,2822,0.0,12
283919,2822,0.0,12
283920,2822,0.0,12
283990,2822,0.0,12
284011,2822,0.0,12
284019,2822,0.0,12
284020,2822,0.0,12
284030,2822,0.0,12
284110,2822,0.0,12
284120,2822,0.0,12
284130,2822,0.0,12
284140,2822,0.0,12
284150,2822,0.0,12
284160,2822,0.0,12
284170,2822,0.0,12
284180,2822,0.0,12
284190,2822,0.0,12
284210,2822,0.0,12
284290,2822,0.0,12
284310,2822,0.0,12
284321,2822,0.0,12
284329,2822,0.0,12
284330,2822,0.0,12
284390,2822,0.0,12
284700,2822,0.0,12
284810,2822,0.0,12
284890,2822,0.0,12
284910,2822,0.0,12
284920,2822,0.0,12
284990,2822,0.0,12
285000,2822,0.0,12
285100,2822,0.0,12
291211,2822,0.0,12
291212,2822,0.0,12
291213,2822,0.0,12
291219,2822,0.0,12
291221,2822,0.0,12
291229,2822,0.0,12
291230,2822,0.0,12
291241,2822,0.0,12
291242,2822,0.0,12
291249,2822,0.0,12
291250,2822,0.0,12
291260,2822,0.0,12
291300,2822,0.0,12
291411,2822,0.0,12
291412,2822,0.0,12
291413,2822,0.0,12
291419,2822,0.0,12
291421,2822,0.0,12
291422,2822,0.0,12
291423,2822,0.0,12
291429,2822,0.0,12
291430,2822,0.0,12
291441,2822,0.0,12
291449,2822,0.0,12
291450,2822,0.0,12
291461,2822,0.0,12
291469,2822,0.0,12
291470,2822,0.0,12
291811,2822,0.0,12
291812,2822,0.0,12
291813,2822,0.0,12
291814,2822,0.0,12
291815,2822,0.0,12
291816,2822,0.0,12
291817,2822,0.0,12
291819,2822,0.0,12
291821,2822,0.0,12
291822,2822,0.0,12
291823,2822,0.0,12
291829,2822,0.0,12
291830,2822,0.0,12
291890,2822,0.0,12
292211,2822,0.0,12
292212,2822,0.0,12
292213,2822,0.0,12
292219,2822,0.0,12
292221,2822,0.0,12
292222,2822,0.0,12
292229,2822,0.0,12
292230,2822,0.0,12
292241,2822,0.0,12
292242,2822,0.0,12
292249,2822,0.0,12
292250,2822,0.0,12
293100,2822,0.0,12
293211,2822,0.0,12
293212,2822,0.0,12
293213,2822,0.0,12
293219,2822,0.0,12
293221,2822,0.0,12
293229,2822,0.0,12
293290,2822,0.0,12
293311,2822,0.0,12
293319,2822,0.0,12
293321,2822,0.0,12
293329,2822,0.0,12
293331,2822,0.0,12
293339,2822,0.0,12
293340,2822,0.0,12
293351,2822,0.0,12
293359,2822,0.0,12
293361,2822,0.0,12
293369,2822,0.0,12
293371,2822,0.0,12
293379,2822,0.0,12
293390,2822,0.0,12
293410,2822,0.0,12
293420,2822,0.0,12
293430,2822,0.0,12
293490,2822,0.0,12
293710,2822,0.0,12
293721,2822,0.0,12
293722,2822,0.0,12
293729,2822,0.0,12
293791,2822,0.0,12
293792,2822,0.0,12
293799,2822,0.0,12
293810,2822,0.0,12
293890,2822,0.0,12
300110,2822,0.0,12
300120,2822,0.0,12
300190,2822,0.0,12
300210,2822,0.0,12
300220,2822,0.0,12
300231,2822,0.0,12
300239,2822,0.0,12
300290,2822,0.0,12
300310,2822,0.0,12
300320,2822,0.0,12
300331,2822,0.0,12
300339,2822,0.0,12
300340,2822,0.0,12
300390,2822,0.0,12
300410,2822,0.0,12
300420,2822,0.0,12
300431,2822,0.0,12
300432,2822,0.0,12
300439,2822,0.0,12
300440,2822,0.0,12
300450,2822,0.0,12
300490,2822,0.0,12
300510,2822,0.0,12
300590,2822,0.0,12
300610,2822,0.0,12
300620,2822,0.0,12
300630,2822,0.0,12
300640,2822,0.0,12
300650,2822,0.0,12
300660,2822,0.0,12
320110,2822,0.0,12
320120,2822,0.0,12
320130,2822,0.0,12
320190,2822,0.0,12
320300,2822,0.0,12
320610,2822,0.0,12
320620,2822,0.0,12
320630,2822,0.0,12
320641,2822,0.0,12
320642,2822,0.0,12
320643,2822,0.0,12
320649,2822,0.0,12
320650,2822,0.0,12
340700,2822,0.0,12
350110,2822,0.0,12
350190,2822,0.0,12
350290,2822,0.0,12
350300,2822,0.0,12
350400,2822,0.0,12
350510,2822,0.0,12
350520,2822,0.0,12
350610,2822,0.0,12
350691,2822,0.0,12
350699,2822,0.0,12
370710,2822,0.0,12
370790,2822,0.0,12
380110,2822,0.0,12
380120,2822,0.0,12
380130,2822,0.0,12
380190,2822,0.0,12
380210,2822,0.0,12
380290,2822,0.0,12
380910,2822,0.0,12
380991,2822,0.0,12
380992,2822,0.0,12
380993,2822,0.0,12
380999,2822,0.0,12
381010,2822,0.0,12
381090,2822,0.0,12
381210,2822,0.0,12
381220,2822,0.0,12
381230,2822,0.0,12
381300,2822,0.0,12
382100,2822,0.0,12
382200,2822,0.0,12
382310,2822,0.0,12
382320,2822,0.0,12
382330,2822,0.0,12
382340,2822,0.0,12
382350,2822,0.0,12
382360,2822,0.0,12
382390,2822,0.0,12
392010,2822,0.0,12
392020,2822,0.0,12
392030,2822,0.0,12
392041,2822,0.0,12
392042,2822,0.0,12
392051,2822,0.0,12
392059,2822,0.0,12
392061,2822,0.0,12
392062,2822,0.0,12
392063,2822,0.0,12
392069,2822,0.0,12
392071,2822,0.0,12
392072,2822,0.0,12
392073,2822,0.0,12
392079,2822,0.0,12
392091,2822,0.0,12
392092,2822,0.0,12
392093,2822,0.0,12
392094,2822,0.0,12
392099,2822,0.0,12
392111,2822,0.0,12
392112,2822,0.0,12
392113,2822,0.0,12
392114,2822,0.0,12
392119,2822,0.0,12
392190,2822,0.0,12
392610,2822,0.0,12
392620,2822,0.0,12
392630,2822,0.0,12
392640,2822,0.0,12
392690,2822,0.0,12
401511,2822,0.0,12
401519,2822,0.0,12
401590,2822,0.0,12
480100,2822,0.0,12
480210,2822,0.0,12
480220,2822,0.0,12
480230,2822,0.0,12
480240,2822,0.0,12
480251,2822,0.0,12
480252,2822,0.0,12
480253,2822,0.0,12
480260,2822,0.0,12
480300,2822,0.0,12
480411,2822,0.0,12
480419,2822,0.0,12
480421,2822,0.0,12
480429,2822,0.0,12
480431,2822,0.0,12
480439,2822,0.0,12
480441,2822,0.0,12
480442,2822,0.0,12
480449,2822,0.0,12
480451,2822,0.0,12
480452,2822,0.0,12
480459,2822,0.0,12
480510,2822,0.0,12
480521,2822,0.0,12
480522,2822,0.0,12
480523,2822,0.0,12
480529,2822,0.0,12
480530,2822,0.0,12
480540,2822,0.0,12
480550,2822,0.0,12
480560,2822,0.0,12
480570,2822,0.0,12
480580,2822,0.0,12
480610,2822,0.0,12
480620,2822,0.0,12
480630,2822,0.0,12
480640,2822,0.0,12
480710,2822,0.0,12
480791,2822,0.0,12
480799,2822,0.0,12
480810,2822,0.0,12
480820,2822,0.0,12
480830,2822,0.0,12
480890,2822,0.0,12
480910,2822,0.0,12
480920,2822,0.0,12
480990,2822,0.0,12
481011,2822,0.0,12
481012,2822,0.0,12
481021,2822,0.0,12
481029,2822,0.0,12
481031,2822,0.0,12
481032,2822,0.0,12
481039,2822,0.0,12
481091,2822,0.0,12
481099,2822,0.0,12
481110,2822,0.0,12
481121,2822,0.0,12
481129,2822,0.0,12
481131,2822,0.0,12
481139,2822,0.0,12
481140,2822,0.0,12
481190,2822,0.0,12
481200,2822,0.0,12
481310,2822,0.0,12
481320,2822,0.0,12
481390,2822,0.0,12
481410,2822,0.0,12
481420,2822,0.0,12
481430,2822,0.0,12
481490,2822,0.0,12
481500,2822,0.0,12
481610,2822,0.0,12
481620,2822,0.0,12
481630,2822,0.0,12
481690,2822,0.0,12
481810,2822,0.0,12
481820,2822,0.0,12
481830,2822,0.0,12
481840,2822,0.0,12
481850,2822,0.0,12
481890,2822,0.0,12
482210,2822,0.0,12
482290,2822,0.0,12
482311,2822,0.0,12
482319,2822,0.0,12
482320,2822,0.0,12
482330,2822,0.0,12
482340,2822,0.0,12
482351,2822,0.0,12
482359,2822,0.0,12
482360,2822,0.0,12
482370,2822,0.0,12
482390,2822,0.0,12
590410,2822,0.0,12
590491,2822,0.0,12
590492,2822,0.0,12
600210,2822,0.0,12
600220,2822,0.0,12
600230,2822,0.0,12
600241,2822,0.0,12
600242,2822,0.0,12
600243,2822,0.0,12
600249,2822,0.0,12
600291,2822,0.0,12
600292,2822,0.0,12
600293,2822,0.0,12
600299,2822,0.0,12
690911,2822,0.0,12
690919,2822,0.0,12
690990,2822,0.0,12
691410,2822,0.0,12
691490,2822,0.0,12
720421,2822,0.9986184145971582,12
720429,2822,0.0039233716068464,12
720430,2822,0.0,12
720441,2822,0.0,12
720449,2822,0.0,12
720450,2822,0.0,12
731411,2822,0.0,12
731419,2822,0.0,12
731420,2822,0.0,12
731430,2822,0.0,12
731441,2822,0.0,12
731442,2822,0.0,12
731449,2822,0.0,12
731450,2822,0.0,12
732010,2822,0.0,12
732020,2822,0.0,12
732090,2822,0.0,12
732111,2822,0.0,12
732112,2822,0.0,12
732113,2822,0.0,12
732181,2822,0.0,12
732182,2822,0.0,12
732183,2822,0.0,12
732190,2822,0.0,12
732310,2822,0.0,12
732391,2822,0.0,12
732392,2822,0.0,12
732393,2822,0.0,12
732394,2822,0.0,12
732399,2822,0.0,12
740400,2822,0.0,12
741410,2822,0.0,12
741490,2822,0.0,12
741600,2822,0.0,12
741700,2822,0.0,12
741810,2822,0.0,12
741910,2822,0.0,12
741991,2822,0.0,12
741999,2822,0.0,12
750300,2822,0.0,12
750800,2822,0.0,12
760200,2822,0.0,12
761510,2822,0.0,12
761690,2822,0.0,12
780200,2822,0.0,12
780300,2822,0.0,12
780411,2822,0.0,12
780419,2822,0.0,12
780420,2822,0.0,12
780500,2822,0.0,12
780600,2822,0.0,12
790200,2822,0.0,12
790310,2822,0.0,12
790390,2822,0.0,12
790400,2822,0.0,12
790500,2822,0.0,12
790600,2822,0.0,12
790710,2822,0.0,12
790790,2822,0.0,12
800200,2822,0.0,12
800300,2822,0.0,12
800400,2822,0.0,12
800510,2822,0.0,12
800520,2822,0.0,12
800600,2822,0.0,12
800700,2822,0.0,12
810510,2822,0.0,12
810710,2822,0.0,12
810810,2822,0.0,12
810910,2822,0.0,12
840120,2822,0.0,12
841410,2822,0.0,12
841420,2822,0.0,12
841430,2822,0.0,12
841440,2822,0.0,12
841480,2822,0.0,12
841490,2822,0.0,12
841710,2822,0.0,12
841720,2822,0.0,12
841780,2822,0.0,12
841790,2822,0.0,12
841911,2822,0.0,12
841919,2822,0.0,12
841920,2822,0.0,12
841931,2822,0.0,12
841932,2822,0.0,12
841939,2822,0.0,12
841981,2822,0.0,12
841989,2822,0.0,12
841990,2822,0.0,12
842111,2822,0.0,12
842112,2822,0.0,12
842119,2822,0.0,12
842191,2822,0.0,12
842199,2822,0.0,12
842219,2822,0.0,12
842220,2822,0.0,12
842230,2822,0.0,12
842240,2822,0.0,12
842290,2822,0.0,12
842410,2822,0.0,12
842420,2822,0.0,12
842430,2822,0.0,12
842481,2822,0.0,12
842489,2822,0.0,12
842490,2822,0.0,12
842810,2822,0.0,12
842820,2822,0.0,12
842831,2822,0.0,12
842832,2822,0.0,12
