H3,H4,weight,group_id
120720,120721,0.0254878513577216,71
120720,120729,0.9745121486422784,71
010690,010641,0.4621239466348121,6
010690,010649,0.1606062413160674,6
010690,010690,0.3772698120491204,6
071339,071334,0.036445441791908,38
071339,071335,0.1182283782675533,38
071339,071339,0.8453261799405387,38
030235,030235,1.0,16
030239,030235,0.2180512925801078,16
030235,030239,0.0,16
030239,030239,0.781948707419892,16
080920,080921,5.804613354620342e-11,48
080920,080929,0.9999999999419538,48
030345,030345,1.0,20
030349,030345,0.1140637830330666,20
030345,030349,0.0,20
030349,030349,0.8859362169669333,20
070990,070991,0.0282677359478055,37
070990,070992,0.0410196555323683,37
070990,070993,0.607225080058381,37
070990,070999,0.3234875284614448,37
100890,100840,0.0689142356234085,67
100890,100850,0.2013506017992241,67
100890,100860,0.503708012071399,67
100890,100890,0.2260271505059682,67
100820,100821,0.2942459318657358,66
100820,100829,0.7057540681342641,66
850780,850750,0.1473251322845216,96
850780,850760,0.76495740797283,96
850780,850780,0.0877174597426483,96
293100,293110,0.0346477468509404,87
293100,293120,0.0191512502991823,87
293100,293190,0.9462010028498772,87
120100,120110,5.117730864895509e-15,68
120100,120190,0.9999999999999948,68
040130,040140,0.1719343657538873,33
040130,040150,0.8280656342461126,33
080290,080270,0.0607611778122889,45
080290,080280,0.0822553171194389,45
080290,080290,0.856983505068272,45
030212,030213,5.994576973216391e-09,14
030212,030214,0.999999994005423,14
080250,080251,0.8029449702718622,43
080250,080252,0.1970550297281377,43
060319,060315,0.2395500614049044,35
060319,060319,0.7604499385950954,35
100400,100410,0.0036448370721259,64
100400,100490,0.996355162927874,64
200980,200981,0.255364314611845,80
200980,200989,0.744635685388155,80
080260,080261,0.1837006148741961,44
080260,080262,0.8162993851258039,44
100200,100210,0.4078043185821351,62
100200,100290,0.5921956814178648,62
030613,030616,0.1804354300602909,31
030623,030616,0.0,31
160520,030616,9.88824924895374e-14,31
030613,030617,0.819564569939709,31
030623,030617,0.0,31
160520,030617,9.005586928708069e-14,31
030613,030626,0.0,31
030623,030626,0.2386828746031488,31
160520,030626,0.0441780069658807,31
030613,030627,0.0,31
030623,030627,0.7613171253968511,31
160520,030627,0.0378951851883359,31
030613,160521,0.0,31
