H1,H0,weight,group_id
060290,060291,0.099054532414116,2
060290,060299,0.900945467585884,2
820713,820711,1.0,88
820719,820711,0.0291552968672338,88
820713,820712,0.0,88
820719,820712,0.9708447031327662,88
401011,401010,0.0,58
401012,401010,0.0,58
401013,401010,0.0,58
401019,401010,0.0,58
401021,401010,1.0,58
401022,401010,1.0,58
401023,401010,0.0,58
401024,401010,0.0,58
401029,401010,0.4209626503164028,58
401011,401091,0.4779002187253611,58
401012,401091,0.9999999911936938,58
401013,401091,7.042036676609625e-09,58
401019,401091,0.8473718335522121,58
401021,401091,0.0,58
401022,401091,0.0,58
401023,401091,0.4439054999610036,58
401024,401091,0.9999999820197144,58
401029,401091,0.0021273254933579,58
401011,401099,0.5220997812746389,58
401012,401099,8.806306178001983e-09,58
401013,401099,0.9999999929579632,58
401019,401099,0.1526281664477879,58
401021,401099,0.0,58
401022,401099,0.0,58
401023,401099,0.5560945000389962,58
401024,401099,1.7980285525013028e-08,58
401029,401099,0.5769100241902391,58
910811,910811,0.9999999941529272,106
910812,910811,0.0,106
910819,910811,0.0,106
910891,910811,0.0,106
910899,910811,0.0,106
910811,910812,0.0,106
910812,910812,0.9590200610722942,106
910819,910812,0.0,106
910891,910812,0.0,106
910899,910812,0.0,106
910811,910819,0.0,106
910812,910819,0.0,106
910819,910819,0.7520439924651615,106
910891,910819,0.0,106
910899,910819,0.0,106
910811,910891,1.8046995950371863e-09,106
910812,910891,1.1185832604075582e-07,106
910819,910891,0.1042472320652038,106
910891,910891,1.0,106
910899,910891,0.0,106
910811,910899,4.0423731098809956e-09,106
910812,910899,0.0409798270693797,106
910819,910899,0.1437087754696347,106
910891,910899,0.0,106
910899,910899,1.0,106
721310,721310,0.8469042791629346,80
721320,721310,0.0,80
721391,721310,0.0,80
721399,721310,0.0,80
721420,721310,0.0,80
721430,721310,0.0,80
721491,721310,0.0,80
721499,721310,0.0,80
721650,721310,0.0,80
721310,721320,0.0,80
721320,721320,0.9999999996645316,80
721391,721320,0.0,80
721399,721320,0.0,80
721420,721320,0.0,80
721430,721320,0.0,80
721491,721320,0.0,80
721499,721320,0.0,80
721650,721320,0.0,80
721310,721331,0.0,80
721320,721331,0.0,80
721391,721331,0.6247794627562485,80
721399,721331,0.0,80
721420,721331,0.0,80
721430,721331,0.0,80
721491,721331,0.0,80
721499,721331,0.0,80
721650,721331,0.0,80
721310,721339,0.0,80
721320,721339,0.0,80
721391,721339,0.0,80
721399,721339,0.3945414308690424,80
721420,721339,0.0,80
721430,721339,0.0,80
721491,721339,0.0,80
721499,721339,0.0,80
721650,721339,0.0,80
721310,721341,0.0,80
721320,721341,0.0,80
721391,721341,0.112020793045129,80
721399,721341,0.0,80
721420,721341,0.0,80
721430,721341,0.0,80
721491,721341,0.0,80
721499,721341,0.0,80
721650,721341,0.0,80
721310,721349,0.0,80
721320,721349,0.0,80
721391,721349,0.0,80
721399,721349,0.3197731386794509,80
721420,721349,0.0,80
721430,721349,0.0,80
721491,721349,0.0,80
721499,721349,0.0,80
721650,721349,0.0,80
721310,721350,0.0,80
721320,721350,0.0,80
721391,721350,0.2631997441986224,80
721399,721350,0.2856854297582563,80
721420,721350,0.0,80
721430,721350,0.0,80
721491,721350,0.0,80
721499,721350,0.0,80
721650,721350,0.0,80
721310,721420,0.0,80
721320,721420,0.0,80
721391,721420,0.0,80
721399,721420,0.0,80
721420,721420,0.9420111786139248,80
721430,721420,0.0,80
721491,721420,0.0,80
721499,721420,0.0,80
721650,721420,0.0,80
721310,721430,0.0,80
721320,721430,0.0,80
721391,721430,0.0,80
721399,721430,0.0,80
721420,721430,0.0,80
721430,721430,0.9999999913740154,80
721491,721430,0.0,80
721499,721430,0.0,80
721650,721430,0.0,80
721310,721440,0.0,80
721320,721440,0.0,80
721391,721440,0.0,80
721399,721440,0.0,80
721420,721440,0.0,80
721430,721440,0.0,80
721491,721440,0.7303079431832422,80
721499,721440,0.5294070687847571,80
721650,721440,0.0,80
721310,721450,0.0,80
721320,721450,0.0,80
721391,721450,0.0,80
721399,721450,0.0,80
721420,721450,0.0,80
721430,721450,0.0,80
721491,721450,0.2262259386940149,80
721499,721450,0.4190634829550827,80
721650,721450,0.0,80
721310,721460,0.0,80
721320,721460,0.0,80
721391,721460,0.0,80
721399,721460,0.0,80
721420,721460,0.0,80
721430,721460,0.0,80
721491,721460,0.0434661181227427,80
721499,721460,0.0515294478178103,80
721650,721460,0.0,80
721310,721650,0.1530957208370653,80
721320,721650,3.3546815726529633e-10,80
721391,721650,0.0,80
721399,721650,6.932501396615583e-10,80
721420,721650,0.0579888213860751,80
721430,721650,8.625984641288888e-09,80
721491,721650,0.0,80
721499,721650,4.4234980329302894e-10,80
721650,721650,1.0,80
741420,741410,0.5034193004893747,86
741490,741410,0.0,86
741420,741490,0.4965806995106252,86
741490,741490,1.0,86
290490,290490,1.0,53
290549,290490,0.1336929096631979,53
290490,290549,0.0,53
290549,290549,0.866307090336802,53
520942,520942,0.9797873150181808,68
520943,520942,0.0,68
520942,520943,0.0202126849818191,68
520943,520943,1.0,68
903082,903081,0.5291709006181184,97
903083,903081,1.0,97
903089,903081,0.0,97
903082,903089,0.4708290993818813,97
903083,903089,0.0,97
903089,903089,1.0,97
030321,030321,0.9999999999998234,46
030329,030321,0.0,46
030321,030329,1.7648601935710042e-13,46
030329,030329,1.0,46
441213,441211,0.7647089013175145,62
441214,441211,0.0,62
441213,441212,0.2352910986824854,62
441214,441212,1.0,62
961420,961410,0.4859223170350599,43
961420,961420,0.51407768296494,43
846930,846931,0.7236524541128275,40
846930,846939,0.2763475458871724,40
262090,262090,1.0,52
391590,262090,0.0,52
711210,262090,2.4025312514308957e-10,52
711220,262090,2.738180631850636e-09,52
711290,262090,0.2595779508531787,52
262090,391590,0.0,52
391590,391590,1.0,52
711210,391590,0.0,52
711220,391590,0.0,52
711290,391590,0.1253431855454008,52
262090,711210,0.0,52
391590,711210,0.0,52
711210,711210,0.9999999997597468,52
711220,711210,0.0,52
711290,711210,0.0,52
262090,711220,0.0,52
