S2,S3,weight,group_id
2651,2651,0.9715355424217442,21
2659,2651,0.0,21
2651,2657,0.0,21
2659,2657,0.9999999993094206,21
2651,2658,0.0284644575782556,21
2659,2658,6.905793774542239e-10,21
7492,7471,0.0730661085662519,55
7492,7472,0.1331791487053264,55
7492,7473,0.0528598188998788,55
7492,7474,0.0606141446147489,55
7492,7478,0.491121540624872,55
7492,7479,0.1891592385889216,55
8983,8984,0.4299247522779348,70
8983,8985,0.1695013635823988,70
8983,8986,0.1127815346146173,70
8983,8987,0.287792349525049,70
2872,2841,3.866424465227096e-11,24
2872,2842,0.9999999999613358,24
7931,7931,0.0,66
7932,7931,0.0012358324949532,66
7931,7932,1.0,66
7932,7932,0.9987641675050468,66
2120,2121,0.5521003790338078,16
2120,2122,0.3917054923088185,16
2120,2123,0.0561941286573736,16
7810,7811,0.0,63
7821,7811,0.1034741649860732,63
7810,7812,1.0,63
7821,7812,0.2707392631643355,63
7810,7821,0.0,63
7821,7821,0.6257865718495911,63
2871,2831,0.9458253686855284,23
2871,2832,0.0541746313144714,23
2640,2641,0.7741322421323598,20
2640,2649,0.2258677578676401,20
7421,7421,0.0,53
7422,7421,0.0,53
7423,7421,0.0,53
7428,7421,0.2245135183433041,53
7421,7422,0.5392399998284136,53
7422,7422,1.4134862891125625e-12,53
7423,7422,0.3948241526471868,53
7428,7422,0.1317475248259023,53
7421,7423,0.1424008347509646,53
7422,7423,0.0,53
7423,7423,0.0,53
7428,7423,0.0,53
7421,7424,0.2839054453454524,53
7422,7424,0.0,53
7423,7424,0.0,53
7428,7424,0.0,53
7421,7425,0.0,53
7422,7425,0.0,53
7423,7425,0.605175847352813,53
7428,7425,0.0,53
7421,7426,0.0,53
7422,7426,0.9999999999985864,53
7423,7426,0.0,53
7428,7426,0.0,53
7421,7427,0.0344537200751693,53
7422,7427,0.0,53
7423,7427,0.0,53
7428,7427,0.6437389568307935,53
6899,6898,0.8088710840192993,44
6999,6898,0.0,44
6899,6899,0.1911289159807006,44
6999,6899,0.0989440723702806,44
6899,6998,0.0,44
6999,6998,0.6520208883529381,44
6899,6999,0.0,44
6999,6999,0.2490350392767812,44
7511,7511,0.7419310694087511,57
7518,7511,0.0,57
7511,7513,0.0,57
7518,7513,0.8150238332553758,57
7511,7519,0.2580689305912488,57
7518,7519,0.1849761667446243,57
6113,6113,0.9999999999999428,36
6114,6113,0.0,36
6113,6114,5.73386063419843e-14,36
6114,6114,1.0,36
7112,7112,1.0,47
7119,7112,0.0,47
8121,7112,0.0148869843662816,47
7112,7119,0.0,47
7119,7119,1.0,47
8121,7119,0.0339120710528617,47
7112,8121,0.0,47
7119,8121,0.0,47
8121,8121,0.9512009445808566,47
7414,7414,0.9146776478101128,52
7752,7414,0.0,52
7414,7752,0.0853223521898871,52
7752,7752,1.0,52
6594,6594,0.1819241318371161,41
6595,6594,0.7818483734268556,41
6596,6594,0.8452972885152242,41
6594,6595,0.818075868162768,41
6595,6595,0.0176259448142257,41
6596,6595,0.0565187657120502,41
6594,6596,1.157533557280837e-13,41
6595,6596,0.2005256817589185,41
6596,6596,0.0981839457727255,41
2460,2461,0.2688031454978787,18
2471,2461,0.0,18
2472,2461,0.0,18
2479,2461,0.0,18
2460,2462,0.0259798937852825,18
2471,2462,0.0,18
2472,2462,0.0,18
2479,2462,0.0,18
2460,2473,0.0,18
2471,2473,0.0197705130574918,18
2472,2473,4.5327767942961397e-11,18
2479,2473,0.7463192139960844,18
2460,2474,0.6312476203743733,18
2471,2474,0.9802294869425082,18
2472,2474,0.0,18
2479,2474,0.0797776937408756,18
2460,2475,0.0739693403424653,18
2471,2475,0.0,18
2472,2475,0.999999999954672,18
2479,2475,0.1739030922630399,18
5139,5139,0.4905244707288933,32
5147,5139,0.0,32
5148,5139,0.0,32
5154,5139,0.0,32
5156,5139,0.0,32
5157,5139,0.0,32
5161,5139,0.0,32
5162,5139,0.0,32
5139,5147,0.0,32
5147,5147,0.9999999999292764,32
5148,5147,0.0,32
5154,5147,0.0,32
5156,5147,0.0,32
5157,5147,0.0,32
5161,5147,0.0,32
5162,5147,0.0,32
5139,5148,0.0,32
5147,5148,0.0,32
5148,5148,0.9999999999773064,32
5154,5148,0.0,32
5156,5148,0.0,32
5157,5148,0.0,32
5161,5148,0.0,32
5162,5148,0.0,32
5139,5154,0.0,32
5147,5154,0.0,32
5148,5154,0.0,32
5154,5154,0.9116033988447164,32
5156,5154,0.0,32
5157,5154,0.0,32
5161,5154,0.0,32
5162,5154,0.0,32
5139,5156,0.5094755292711066,32
5147,5156,0.0,32
5148,5156,0.0,32
5154,5156,0.0,32
5156,5156,0.0884329378665852,32
5157,5156,0.0,32
5161,5156,3.064908752375019e-11,32
5162,5156,1.8305332559233667e-10,32
5139,5157,0.0,32
5147,5157,7.07234878726291e-11,32
5148,5157,2.2693483238453377e-11,32
5154,5157,0.0883966011552834,32
5156,5157,0.9115670621334148,32
5157,5157,0.1719094078169333,32
5161,5157,0.0,32
5162,5157,0.0,32
5139,5158,0.0,32
5147,5158,0.0,32
5148,5158,0.0,32
5154,5158,0.0,32
5156,5158,0.0,32
5157,5158,0.8280905921830665,32
5161,5158,0.0,32
5162,5158,0.0,32
5139,5161,0.0,32
5147,5161,0.0,32
5148,5161,0.0,32
5154,5161,0.0,32
5156,5161,0.0,32
5157,5161,0.0,32
5161,5161,0.9999999999693509,32
5162,5161,0.0,32
5139,5162,0.0,32
5147,5162,0.0,32
5148,5162,0.0,32
5154,5162,0.0,32
5156,5162,0.0,32
5157,5162,0.0,32
5161,5162,0.0,32
5162,5162,0.9999999998169466,32
7493,7481,0.1767822366182384,56
7493,7482,0.1129324420525689,56
7493,7484,0.3425959926066659,56
7493,7485,0.0659763438722397,56
7493,7486,0.0860213025045733,56
7493,7489,0.2156916823457136,56
0111,0111,0.8773851722758873,2
0111,0112,0.1226148277241128,2
1221,1221,0.9650684896841056,14
1222,1221,0.0,14
1223,1221,0.0,14
1221,1222,0.0,14
1222,1222,0.999999999930641,14
1223,1222,0.0,14
1221,1223,0.0349315103158942,14
1222,1223,6.935903478500025e-11,14
1223,1223,1.0,14
2820,2821,0.1103233713448029,22
6724,2821,0.0,22
2820,2822,0.4061145207839457,22
6724,2822,0.0,22
2820,2823,0.4835621078712513,22
6724,2823,0.103080517834807,22
2820,6724,0.0,22
6724,6724,0.8969194821651929,22
6992,6992,0.4910616403333297,46
6992,7483,0.5089383596666703,46
6822,6823,0.1357863252015039,43
6822,6824,0.3114915994871643,43
6822,6825,0.2138995089213933,43
6822,6826,0.1223212792978936,43
6822,6827,0.2165012870920449,43
2879,2878,0.4191431477856081,27
2879,2879,0.5808568522143918,27
6116,6116,0.5583655475743269,37
6116,6117,0.441634452425673,37
7252,7252,1.0,51
7259,7252,0.0,51
8813,7252,0.1248461625902116,51
7252,7259,0.0,51
7259,7259,1.0,51
8813,7259,5.817766869231155e-14,51
7252,8813,0.0,51
7259,8813,0.0,51
8813,8813,0.8751538374097302,51
7933,7933,1.0,67
7938,7933,0.1077211784760377,67
7933,7935,0.0,67
7938,7935,0.5708518283258684,67
7933,7937,0.0,67
7938,7937,0.1759557897307763,67
7933,7939,0.0,67
7938,7939,0.1454712034673175,67
0459,0453,0.9999999999996924,6
0459,0459,3.075925559013308e-13,6
7212,7212,0.8990457775645043,49
7271,7212,0.9999999999973916,49
7212,7271,0.1009542224354957,49
7271,7271,2.6082968257808907e-12,49
7591,7591,0.925199389623992,59
7599,7591,0.0,59
7591,7599,0.0748006103760077,59
7599,7599,1.0,59
5312,5312,0.9636033706116623,34
5322,5312,0.0,34
5312,5322,0.0363966293883375,34
5322,5322,1.0,34
5221,5221,0.3230026665255595,33
5221,5222,0.6769973334744404,33
3413,3421,0.2177097807528623,30
3413,3425,0.1619120741552222,30
3413,3431,0.29259660339871,30
3413,3441,0.1529217523077397,30
3413,3442,0.1748597893854657,30
5913,5913,1.0,35
5914,5913,0.1909412431266958,35
5913,5914,0.0,35
5914,5914,0.8090587568733041,35
0240,0241,0.0121839626549655,3
0240,0242,0.1613165316132981,3
0240,0243,0.0373709202739203,3
0240,0249,0.789128585457816,3
2517,2514,0.0596485230589724,19
2517,2515,0.9403514769410274,19
0611,0611,0.9177973160435512,11
0612,0611,0.0,11
0611,0612,0.0822026839564488,11
0612,0612,1.0,11
0350,0351,0.4618534407422483,4
0350,0352,0.3315914663498799,4
0350,0353,0.1697808724350083,4
0350,0354,0.0232482851152054,4
0350,0355,0.0135259353576579,4
0571,0571,0.999999999401772,9
0572,0571,0.0,9
0573,0571,0.0,9
0575,0571,0.0,9
0576,0571,0.0,9
0577,0571,0.0,9
0579,0571,0.0,9
0571,0572,0.0,9
0572,0572,0.9999999981354766,9
0573,0572,0.0,9
0575,0572,0.0,9
0576,0572,0.0,9
0577,0572,0.0,9
0579,0572,0.0,9
0571,0573,0.0,9
0572,0573,0.0,9
0573,0573,0.9772465677766488,9
0575,0573,0.0,9
0576,0573,0.0,9
0577,0573,0.0,9
0579,0573,0.0,9
0571,0575,0.0,9
0572,0575,0.0,9
0573,0575,0.0,9
0575,0575,0.9999999991426852,9
0576,0575,0.0,9
0577,0575,0.0,9
0579,0575,0.0,9
0571,0576,0.0,9
0572,0576,0.0,9
0573,0576,0.0,9
0575,0576,0.0,9
0576,0576,0.9999999858345312,9
0577,0576,0.0,9
0579,0576,0.0,9
0571,0577,0.0,9
0572,0577,0.0,9
0573,0577,0.0,9
0575,0577,0.0,9
0576,0577,0.0,9
0577,0577,0.9461145148432988,9
0579,0577,0.0,9
0571,0579,5.982280019577183e-10,9
0572,0579,1.8645233799565398e-09,9
0573,0579,0.022753432223351,9
0575,0579,8.57314740700944e-10,9
0576,0579,1.4165468816159672e-08,9
0577,0579,0.0538854851567011,9
0579,0579,1.0,9
7524,7526,0.0,58
7525,7526,0.407345725206525,58
7528,7526,0.0,58
7524,7527,1.0,58
7525,7527,0.36856385031864,58
7528,7527,0.0,58
7524,7529,0.0,58
7525,7529,0.2240904244748349,58
7528,7529,1.0,58
0723,0723,0.3416515643502718,12
0723,0724,0.6583484356497282,12
0585,0591,0.6856027350232105,10
0585,0592,0.1139162476616158,10
0585,0593,0.0200718949902305,10
0585,0599,0.180409122324943,10
7741,7741,0.864880957933834,61
8212,7741,0.0,61
8720,7741,0.0,61
7741,8212,0.0,61
8212,8212,0.6819851545638421,61
8720,8212,0.0,61
7741,8721,0.0,61
8212,8721,2.6275129129125696e-11,61
8720,8721,0.1481630276660118,61
7741,8722,0.135119042066166,61
8212,8722,0.0,61
8720,8722,0.6451775129784678,61
7741,8723,0.0,61
8212,8723,0.0,61
8720,8723,0.2066594593555204,61
7741,8724,0.0,61
8212,8724,0.3180148454098827,61
8720,8724,0.0,61
2873,2851,0.2674103293176285,25
2873,2852,0.7325896706823714,25
6259,6255,0.6411607574175697,39
6259,6259,0.3588392425824303,39
6422,6422,0.9999999999997268,40
6423,6422,0.0,40
6422,6423,2.732391662260525e-13,40
6423,6423,1.0,40
7721,7724,0.081808561008246,60
