H5,H4,weight,group_id
441231,441231,0.867785473015644,29
441233,441231,0.0,29
441234,441231,0.0,29
441231,441232,0.132214526984356,29
441233,441232,1.0,29
441234,441232,1.0,29
852862,852861,0.1962429187359752,39
852869,852861,0.0,39
852862,852869,0.8037570812640247,39
852869,852869,1.0,39
900659,900610,0.3839372835339482,42
900659,900659,0.6160627164660518,42
030193,030193,0.9999999999999813,1
030199,030193,0.0,1
030193,030199,1.850477930627723e-14,1
030199,030199,1.0,1
030743,030749,0.6206767533683502,13
030749,030749,0.9999999996435748,13
030784,030749,0.0,13
030788,030749,0.0,13
030792,030749,0.0,13
030799,030749,0.0,13
030743,030799,0.3793232466316498,13
030749,030799,3.5642519952228856e-10,13
030784,030799,1.0,13
030788,030799,1.0,13
030792,030799,1.0,13
030799,030799,1.0,13
441873,441871,0.0952167545966814,30
441874,441871,1.0,30
441875,441871,0.0,30
441879,441871,0.0,30
441873,441872,0.8441775127481189,30
441874,441872,0.0,30
441875,441872,1.0,30
441879,441872,0.0,30
441873,441879,0.0606057326551996,30
441874,441879,0.0,30
441875,441879,0.0,30
441879,441879,1.0,30
030311,030311,1.0,3
030312,030311,0.0,3
030313,030311,0.0,3
030314,030311,0.0,3
030319,030311,0.0,3
030323,030311,0.0,3
030324,030311,0.0,3
030325,030311,0.0,3
030326,030311,0.0,3
030329,030311,0.0,3
030331,030311,0.0,3
030332,030311,0.0,3
030333,030311,0.0,3
030334,030311,0.0,3
030339,030311,0.0,3
030341,030311,0.0,3
030342,030311,0.0,3
030343,030311,0.0,3
030344,030311,0.0,3
030345,030311,0.0,3
030346,030311,0.0,3
030349,030311,0.0,3
030351,030311,0.0,3
030353,030311,0.0,3
030354,030311,0.0,3
030355,030311,0.0,3
030356,030311,0.0,3
030357,030311,0.0,3
030359,030311,0.0,3
030363,030311,0.0,3
030364,030311,0.0,3
030365,030311,0.0,3
030366,030311,0.0,3
030367,030311,0.0,3
030368,030311,0.0,3
030369,030311,0.0,3
030381,030311,0.0,3
030382,030311,0.0,3
030383,030311,0.0,3
030384,030311,0.0,3
030389,030311,0.0,3
030392,030311,0.0,3
030399,030311,0.2059565034067554,3
030311,030312,0.0,3
030312,030312,1.0,3
030313,030312,0.0,3
030314,030312,0.0,3
030319,030312,0.0,3
030323,030312,0.0,3
030324,030312,0.0,3
030325,030312,0.0,3
030326,030312,0.0,3
030329,030312,0.0,3
030331,030312,0.0,3
030332,030312,0.0,3
030333,030312,0.0,3
030334,030312,0.0,3
030339,030312,0.0,3
030341,030312,0.0,3
030342,030312,0.0,3
030343,030312,0.0,3
030344,030312,0.0,3
030345,030312,0.0,3
030346,030312,0.0,3
030349,030312,0.0,3
030351,030312,0.0,3
030353,030312,0.0,3
030354,030312,0.0,3
030355,030312,0.0,3
030356,030312,0.0,3
030357,030312,0.0,3
030359,030312,0.0,3
030363,030312,0.0,3
030364,030312,0.0,3
030365,030312,0.0,3
030366,030312,0.0,3
030367,030312,0.0,3
030368,030312,0.0,3
030369,030312,0.0,3
030381,030312,0.0,3
030382,030312,0.0,3
030383,030312,0.0,3
030384,030312,0.0,3
030389,030312,0.0,3
030392,030312,0.0,3
030399,030312,7.735464977559394e-12,3
030311,030313,0.0,3
030312,030313,0.0,3
030313,030313,1.0,3
030314,030313,0.0,3
030319,030313,0.0,3
030323,030313,0.0,3
030324,030313,0.0,3
030325,030313,0.0,3
030326,030313,0.0,3
030329,030313,0.0,3
030331,030313,0.0,3
030332,030313,0.0,3
030333,030313,0.0,3
030334,030313,0.0,3
030339,030313,0.0,3
030341,030313,0.0,3
030342,030313,0.0,3
030343,030313,0.0,3
030344,030313,0.0,3
030345,030313,0.0,3
030346,030313,0.0,3
030349,030313,0.0,3
030351,030313,0.0,3
030353,030313,0.0,3
030354,030313,0.0,3
030355,030313,0.0,3
030356,030313,0.0,3
030357,030313,0.0,3
030359,030313,0.0,3
030363,030313,0.0,3
030364,030313,0.0,3
030365,030313,0.0,3
030366,030313,0.0,3
030367,030313,0.0,3
030368,030313,0.0,3
030369,030313,0.0,3
030381,030313,0.0,3
030382,030313,0.0,3
030383,030313,0.0,3
030384,030313,0.0,3
030389,030313,0.0,3
030392,030313,0.0,3
030399,030313,8.380586115936438e-10,3
030311,030314,0.0,3
030312,030314,0.0,3
030313,030314,0.0,3
030314,030314,1.0,3
030319,030314,0.0,3
030323,030314,0.0,3
030324,030314,0.0,3
030325,030314,0.0,3
030326,030314,0.0,3
030329,030314,0.0,3
030331,030314,0.0,3
030332,030314,0.0,3
030333,030314,0.0,3
030334,030314,0.0,3
030339,030314,0.0,3
030341,030314,0.0,3
030342,030314,0.0,3
030343,030314,0.0,3
030344,030314,0.0,3
030345,030314,0.0,3
030346,030314,0.0,3
030349,030314,0.0,3
030351,030314,0.0,3
030353,030314,0.0,3
030354,030314,0.0,3
030355,030314,0.0,3
030356,030314,0.0,3
030357,030314,0.0,3
030359,030314,0.0,3
030363,030314,0.0,3
030364,030314,0.0,3
030365,030314,0.0,3
030366,030314,0.0,3
030367,030314,0.0,3
030368,030314,0.0,3
030369,030314,0.0,3
030381,030314,0.0,3
030382,030314,0.0,3
030383,030314,0.0,3
030384,030314,0.0,3
030389,030314,0.0,3
030392,030314,0.0,3
030399,030314,3.2728665985300796e-10,3
030311,030319,0.0,3
030312,030319,0.0,3
030313,030319,0.0,3
030314,030319,0.0,3
030319,030319,1.0,3
030323,030319,0.0,3
030324,030319,0.0,3
030325,030319,0.0,3
030326,030319,0.0,3
030329,030319,0.0,3
030331,030319,0.0,3
030332,030319,0.0,3
030333,030319,0.0,3
030334,030319,0.0,3
030339,030319,0.0,3
030341,030319,0.0,3
030342,030319,0.0,3
030343,030319,0.0,3
030344,030319,0.0,3
030345,030319,0.0,3
030346,030319,0.0,3
030349,030319,0.0,3
030351,030319,0.0,3
030353,030319,0.0,3
030354,030319,0.0,3
030355,030319,0.0,3
030356,030319,0.0,3
030357,030319,0.0,3
030359,030319,0.0,3
030363,030319,0.0,3
030364,030319,0.0,3
030365,030319,0.0,3
030366,030319,0.0,3
030367,030319,0.0,3
030368,030319,0.0,3
030369,030319,0.0,3
030381,030319,0.0,3
030382,030319,0.0,3
030383,030319,0.0,3
030384,030319,0.0,3
030389,030319,0.0,3
030392,030319,0.0,3
030399,030319,4.3843143908577646e-11,3
030311,030323,0.0,3
030312,030323,0.0,3
030313,030323,0.0,3
030314,030323,0.0,3
030319,030323,0.0,3
030323,030323,1.0,3
030324,030323,0.0,3
030325,030323,0.0,3
030326,030323,0.0,3
030329,030323,0.0,3
030331,030323,0.0,3
030332,030323,0.0,3
030333,030323,0.0,3
030334,030323,0.0,3
030339,030323,0.0,3
030341,030323,0.0,3
030342,030323,0.0,3
030343,030323,0.0,3
030344,030323,0.0,3
030345,030323,0.0,3
030346,030323,0.0,3
030349,030323,0.0,3
030351,030323,0.0,3
030353,030323,0.0,3
030354,030323,0.0,3
030355,030323,0.0,3
030356,030323,0.0,3
030357,030323,0.0,3
030359,030323,0.0,3
030363,030323,0.0,3
030364,030323,0.0,3
030365,030323,0.0,3
030366,030323,0.0,3
030367,030323,0.0,3
030368,030323,0.0,3
030369,030323,0.0,3
030381,030323,0.0,3
030382,030323,0.0,3
030383,030323,0.0,3
030384,030323,0.0,3
030389,030323,0.0,3
030392,030323,0.0,3
030399,030323,5.1665072009738326e-11,3
030311,030324,0.0,3
030312,030324,0.0,3
030313,030324,0.0,3
030314,030324,0.0,3
030319,030324,0.0,3
030323,030324,0.0,3
030324,030324,1.0,3
030325,030324,0.0,3
030326,030324,0.0,3
030329,030324,0.0,3
030331,030324,0.0,3
030332,030324,0.0,3
030333,030324,0.0,3
030334,030324,0.0,3
030339,030324,0.0,3
030341,030324,0.0,3
030342,030324,0.0,3
030343,030324,0.0,3
030344,030324,0.0,3
030345,030324,0.0,3
030346,030324,0.0,3
030349,030324,0.0,3
030351,030324,0.0,3
030353,030324,0.0,3
030354,030324,0.0,3
030355,030324,0.0,3
030356,030324,0.0,3
030357,030324,0.0,3
030359,030324,0.0,3
030363,030324,0.0,3
030364,030324,0.0,3
030365,030324,0.0,3
030366,030324,0.0,3
030367,030324,0.0,3
030368,030324,0.0,3
030369,030324,0.0,3
030381,030324,0.0,3
030382,030324,0.0,3
030383,030324,0.0,3
030384,030324,0.0,3
030389,030324,0.0,3
030392,030324,0.0,3
030399,030324,4.06668842456847e-11,3
030311,030325,0.0,3
030312,030325,0.0,3
030313,030325,0.0,3
030314,030325,0.0,3
030319,030325,0.0,3
030323,030325,0.0,3
030324,030325,0.0,3
030325,030325,0.9999999985715342,3
030326,030325,0.0,3
030329,030325,0.0,3
030331,030325,0.0,3
030332,030325,0.0,3
030333,030325,0.0,3
030334,030325,0.0,3
030339,030325,0.0,3
030341,030325,0.0,3
030342,030325,0.0,3
030343,030325,0.0,3
030344,030325,0.0,3
030345,030325,0.0,3
030346,030325,0.0,3
