S3,H0,weight,group_id
8447,610610,0.3739467041047128,332
8447,610620,0.3698766833855551,332
8447,610690,0.2561766125097319,332
6214,400910,0.1717659150246549,223
6214,400920,0.1586769888260703,223
6214,400930,0.2268170473544451,223
6214,400940,0.1583542870528992,223
6214,400950,0.2843857617419303,223
5335,320710,0.0936420182513398,172
5335,320720,0.0785914362000837,172
5335,320730,0.1022828480544534,172
5335,320740,0.0967288552483702,172
5335,321100,0.0569114232431697,172
5335,321310,0.0570081405207674,172
5335,321390,0.0648031457731668,172
5335,321410,0.185115667401424,172
5335,321490,0.1637777337539299,172
5335,381400,0.1011387315532946,172
0111,020110,0.3021066478971481,6
0111,020120,0.4256703711793573,6
0111,020130,0.2722229809234944,6
2733,250510,0.4326524811057086,119
2733,250590,0.5673475188942912,119
6518,540410,0.0864881075573364,297
6518,540490,0.0287472467084579,297
6518,550911,0.0375371918361469,297
6518,550912,0.0342850406533129,297
6518,550921,0.0337536039234515,297
6518,550922,0.0314344267465667,297
6518,550931,0.0478370495904712,297
6518,550932,0.0486722302058081,297
6518,550941,0.0314847331862455,297
6518,550942,0.0243965792672612,297
6518,550951,0.0350484502360614,297
6518,550952,0.0448506182742454,297
6518,550953,0.0514462682402151,297
6518,550959,0.0291967368012863,297
6518,550961,0.0358078837534874,297
6518,550962,0.039548354354111,297
6518,550969,0.0272687004201532,297
6518,550991,0.0270835019062124,297
6518,550992,0.0224444174958507,297
6518,550999,0.0235207397570216,297
6518,551011,0.0639772586221849,297
6518,551012,0.0300706204120063,297
6518,551020,0.0243782000186613,297
6518,551030,0.0243191793543627,297
6518,551090,0.0337947660290063,297
6518,551110,0.030601059573738,297
6518,551120,0.0302450918864728,297
6518,551130,0.0217619431898632,297
2672,550510,0.6953483450268622,303
2672,550520,0.3046516549731378,303
6576,650100,0.452274147723831,369
6576,650200,0.5477258522761688,369
2741,250310,0.7001376486065458,117
2741,250390,0.2998623513934542,117
7315,845951,0.1614211047037224,529
7315,845959,0.1708754955026421,529
7315,845961,0.3129032119123862,529
7315,845969,0.1878859883136644,529
7315,845970,0.1669141995675847,529
0168,021020,0.4540410618380307,15
0168,021090,0.545958938161969,15
0014,010511,0.2676465801770773,5
0014,010519,0.2021766853787436,5
0014,010591,0.3326684236561148,5
0014,010599,0.1975083107880641,5
6596,570410,0.2222499803430297,318
6596,570490,0.4844080622584382,318
6596,570500,0.293341957398532,318
7919,860711,0.0748897924507879,565
7919,860712,0.090307457608866,565
7919,860719,0.1526906146929066,565
7919,860721,0.1461024267315601,565
7919,860729,0.0717855041189819,565
7919,860730,0.0998433004579082,565
7919,860791,0.1221086755185221,565
7919,860799,0.1691606249298995,565
7919,860800,0.0731116034905672,565
7144,841111,0.1436385046915983,483
7144,841112,0.7574440831908814,483
7144,841210,0.0989174121175203,483
6525,521021,0.0920439133081197,288
6525,521022,0.0580211086522035,288
6525,521029,0.075827931177853,288
6525,521031,0.1321353468041018,288
6525,521032,0.0696418583485801,288
6525,521039,0.0890580676136209,288
6525,521041,0.106241257108992,288
6525,521042,0.065785057611768,288
6525,521049,0.0783288425151104,288
6525,521051,0.0992534029906222,288
6525,521052,0.0598266914921285,288
6525,521059,0.0738365223768992,288
6951,820110,0.1280633247431568,457
6951,820120,0.0956729565147173,457
6951,820130,0.1400598040584153,457
6951,820140,0.1036947924385547,457
6951,820150,0.1839409682734025,457
6951,820160,0.1957653125175593,457
6951,820190,0.1528028414541936,457
0733,180631,0.414678175310947,100
0733,180632,0.5853218246890529,100
6543,511120,0.1182129576160905,280
6543,511130,0.2557491897412227,280
6543,511190,0.1140386433859974,280
6543,511220,0.1120264915229168,280
6543,511230,0.1522863184774563,280
6543,511290,0.119641945283124,280
6543,580110,0.1280444539731921,280
5743,390740,0.2390095833492526,208
5743,390750,0.120523514709443,208
5743,390760,0.2425187727439951,208
5743,390791,0.1530598668611191,208
5743,390799,0.24488826233619,208
7231,842911,0.4037044557780173,500
7231,842919,0.2098565619618514,500
7231,842920,0.3864389822601312,500
7911,860110,0.589803667179485,561
7911,860120,0.4101963328205149,561
7762,854020,0.0756835512351159,557
7762,854030,0.1974745019399202,557
7762,854041,0.0982684427368032,557
7762,854042,0.0728048596433498,557
7762,854049,0.1051448965449524,557
7762,854081,0.064067404768904,557
7762,854089,0.083473100156299,557
7762,854091,0.2215128068410395,557
7762,854099,0.0815704361336156,557
7412,841610,0.3084092097811122,491
7412,841620,0.237599590913118,491
7412,841630,0.1477604167681238,491
7412,841690,0.306230782537646,491
8451,611110,0.0597264477473032,337
8451,611120,0.2978157811408194,337
8451,611130,0.1670341264772434,337
8451,611190,0.0625075947072601,337
8451,620910,0.059872216231573,337
8451,620920,0.1697401704250828,337
8451,620930,0.1217381634903691,337
8451,620990,0.0615654997803487,337
7219,843510,0.0918795705992133,507
7219,843590,0.0761559047415521,507
7219,843610,0.1209170350662266,507
7219,843621,0.0977867666923222,507
7219,843629,0.1070482089959015,507
7219,843680,0.2335912893796922,507
7219,843691,0.1154967132093332,507
7219,843699,0.1571245113157586,507
6526,521121,0.0478628874183834,289
6526,521122,0.0429440612174329,289
6526,521129,0.047485737437574,289
6526,521131,0.066885695393092,289
6526,521132,0.105104957723757,289
6526,521139,0.0858956422855171,289
6526,521141,0.0488633135211835,289
6526,521142,0.0533223748253903,289
6526,521143,0.0415663668827403,289
6526,521149,0.2208017726586333,289
6526,521151,0.058746561840484,289
6526,521152,0.0508581380103284,289
6526,521159,0.1296624907854831,289
5224,281210,0.3226784594944251,141
5224,281290,0.1881549664700922,141
5224,281310,0.2955644359156855,141
5224,281390,0.1936021381197969,141
8721,901841,0.291339038955224,594
8721,901849,0.7086609610447759,594
5169,294000,0.1946127009873213,163
5169,294200,0.1847656938795461,163
5169,350710,0.1661121044800663,163
5169,350790,0.4545095006530661,163
7935,890510,0.2105206307860386,583
7935,890520,0.5603144950717251,583
7935,890590,0.2291648741422361,583
5237,283610,0.0474386396560191,146
5237,283620,0.3381306743158797,146
5237,283630,0.0780211345707221,146
5237,283640,0.0622819158874585,146
5237,283650,0.086650912170583,146
5237,283660,0.060282638991408,146
5237,283670,0.041914318127285,146
5237,283691,0.0871940583109903,146
5237,283692,0.0820531990026322,146
5237,283693,0.0413558895901286,146
5237,283699,0.0746766193768929,146
8319,420231,0.1605409920014149,236
8319,420232,0.1542049396940816,236
8319,420239,0.112921706483314,236
8319,420291,0.1343002445754607,236
8319,420292,0.3161428725124335,236
8319,420299,0.121889244733295,236
8462,611511,0.223679399581019,341
8462,611512,0.0954638278891344,341
8462,611519,0.0871366787540628,341
8462,611520,0.0946622384016902,341
8462,611591,0.1003084695273166,341
8462,611592,0.1856946523407276,341
8462,611593,0.1317353179796881,341
8462,611599,0.0813194155263608,341
0814,230110,0.4615596280229501,111
0814,230120,0.5384403719770497,111
2785,250610,0.063417457919569,120
2789,250610,0.0,120
2785,250621,0.0562192483868882,120
2789,250621,0.0,120
2785,250629,0.0471381566477349,120
2789,250629,0.0,120
2785,250900,0.0,120
2789,250900,0.0395099477843265,120
2785,251110,0.0,120
2789,251110,0.1044536249045906,120
2785,251120,0.0,120
2789,251120,0.0274383037303428,120
2785,251200,0.0,120
2789,251200,0.0521628038617943,120
2785,252510,0.050942396317274,120
2789,252510,0.0,120
2785,252520,0.0645401910123572,120
2789,252520,0.0,120
2785,252530,0.0509991930162015,120
2789,252530,0.0,120
2785,252610,0.0,120
2789,252610,0.047735229588472,120
2785,252620,0.0,120
2789,252620,0.0770651059530114,120
2785,252700,0.0329135241095208,120
